Name,Rank,Number,Percent
ABBY,694,24289,0.016
ABIGAIL,520,37952,0.025
ADA,310,86531,0.057
ADDIE,513,39470,0.026
ADELA,723,21253,0.014
ADELE,524,37952,0.025
ADELINE,634,27326,0.018
ADRIAN,959,13663,0.009
ADRIANA,517,37952,0.025
ADRIENNE,394,59206,0.039
AGNES,217,148773,0.098
AIDA,559,34916,0.023
AILEEN,685,24289,0.016
AIMEE,503,40988,0.027
AISHA,919,13663,0.009
ALANA,794,18217,0.012
ALBA,979,13663,0.009
ALBERTA,332,78941,0.052
ALEJANDRA,797,18217,0.012
ALEXANDRA,396,59206,0.039
ALEXANDRIA,747,21253,0.014
ALEXIS,457,45543,0.03
ALFREDA,913,13663,0.009
ALICE,51,541958,0.357
ALICIA,152,221641,0.146
ALINE,845,16699,0.011
ALISA,603,30362,0.02
ALISHA,502,40988,0.027
ALISON,347,75905,0.05
ALISSA,866,16699,0.011
ALLIE,764,19735,0.013
ALLISON,228,139664,0.092
ALLYSON,775,19735,0.013
ALMA,196,168508,0.111
ALTA,619,28844,0.019
ALTHEA,790,18217,0.012
ALYCE,877,15181,0.01
ALYSON,981,13663,0.009
ALYSSA,448,47061,0.031
AMALIA,905,15181,0.01
AMANDA,40,613309,0.404
AMBER,139,242895,0.16
AMELIA,331,78941,0.052
AMIE,789,19735,0.013
AMPARO,916,13663,0.009
AMY,32,684659,0.451
ANA,181,182171,0.12
ANASTASIA,907,15181,0.01
ANDREA,81,358269,0.236
ANGEL,424,53133,0.035
ANGELA,29,710466,0.468
ANGELIA,658,25808,0.017
ANGELICA,390,59206,0.039
ANGELINA,414,56169,0.037
ANGELINE,650,25808,0.017
ANGELIQUE,965,13663,0.009
ANGELITA,943,13663,0.009
ANGIE,327,81977,0.054
ANITA,136,245931,0.162
ANN,48,552585,0.364
ANNA,33,667960,0.44
ANNABELLE,809,18217,0.012
ANNE,85,346125,0.228
ANNETTE,175,189761,0.125
ANNIE,97,327908,0.216
ANNMARIE,946,13663,0.009
ANTOINETTE,361,72868,0.048
ANTONIA,426,53133,0.035
APRIL,142,233786,0.154
ARACELI,881,15181,0.01
ARLENE,225,142701,0.094
ARLINE,892,15181,0.01
ASHLEE,776,19735,0.013
ASHLEY,63,459981,0.303
AUDRA,706,22771,0.015
AUDREY,173,192798,0.127
AUGUSTA,900,15181,0.01
AURELIA,898,15181,0.01
AURORA,534,36434,0.024
AUTUMN,660,25808,0.017
AVA,742,21253,0.014
AVIS,763,19735,0.013
BARBARA,4,1487729,0.98
BARBRA,716,22771,0.015
BEATRICE,170,197352,0.13
BEATRIZ,645,27326,0.018
BECKY,287,100194,0.066
BELINDA,305,89567,0.059
BENITA,774,19735,0.013
BERNADETTE,400,59206,0.039
BERNADINE,725,21253,0.014
BERNICE,172,194316,0.128
BERTA,886,15181,0.01
BERTHA,156,217087,0.143
BERTIE,978,13663,0.009
BERYL,948,13663,0.009
BESSIE,221,145737,0.096
BETH,199,166990,0.11
BETHANY,398,59206,0.039
BETSY,430,51615,0.034
BETTE,607,28844,0.019
BETTIE,557,34916,0.023
BETTY,14,1011048,0.666
BETTYE,712,22771,0.015
BEULAH,360,72868,0.048
BEVERLEY,995,12145,0.008
BEVERLY,73,405330,0.267
BIANCA,710,22771,0.015
BILLIE,278,104748,0.069
BLANCA,384,62242,0.041
BLANCHE,321,83495,0.055
BOBBI,679,24289,0.016
BOBBIE,288,98676,0.065
BONITA,509,39470,0.026
BONNIE,88,338534,0.223
BRANDI,320,83495,0.055
BRANDIE,989,12145,0.008
BRANDY,276,106266,0.07
BRENDA,31,690731,0.455
BRIANA,880,15181,0.01
BRIANNA,738,21253,0.014
BRIDGET,369,68314,0.045
BRIDGETT,942,13663,0.009
BRIDGETTE,720,22771,0.015
BRIGITTE,980,13663,0.009
BRITNEY,967,13663,0.009
BRITTANY,187,177617,0.117
BRITTNEY,547,36434,0.024
BROOKE,397,59206,0.039
CAITLIN,560,34916,0.023
CALLIE,678,24289,0.016
CAMILLE,488,42507,0.028
CANDACE,343,77423,0.051
CANDICE,362,69832,0.046
CANDY,575,33398,0.022
CARA,523,37952,0.025
CAREY,915,13663,0.009
CARISSA,953,13663,0.009
CARLA,202,162436,0.107
CARLENE,813,18217,0.012
CARLY,874,15181,0.01
CARMELA,640,27326,0.018
CARMELLA,804,18217,0.012
CARMEN,111,296028,0.195
CAROL,18,857721,0.565
CAROLE,275,107784,0.071
CAROLINA,595,31880,0.021
CAROLINE,248,129038,0.085
CAROLYN,42,584465,0.385
CARRIE,129,259594,0.171
CASANDRA,941,13663,0.009
CASEY,461,44025,0.029
CASSANDRA,269,109303,0.072
CASSIE,566,34916,0.023
CATALINA,741,21253,0.014
CATHERINE,46,566248,0.373
CATHLEEN,657,25808,0.017
CATHRYN,939,13663,0.009
CATHY,163,207978,0.137
CECELIA,445,48579,0.032
CECILE,610,28844,0.019
CECILIA,318,83495,0.055
CELESTE,521,37952,0.025
CELIA,371,66796,0.044
CELINA,1000,12145,0.008
CHANDRA,756,21253,0.014
CHARITY,643,27326,0.018
CHARLENE,220,147255,0.097
CHARLOTTE,130,256557,0.169
CHARMAINE,830,16699,0.011
CHASITY,872,15181,0.01
CHELSEA,407,57687,0.038
CHERI,518,37952,0.025
CHERIE,581,33398,0.022
CHERRY,922,13663,0.009
CHERYL,59,478199,0.315
CHRIS,528,36434,0.024
CHRISTA,564,34916,0.023
CHRISTI,666,25808,0.017
CHRISTIAN,903,15181,0.01
CHRISTIE,431,51615,0.034
CHRISTINA,70,417475,0.275
CHRISTINE,43,579911,0.382
CHRISTY,260,116893,0.077
CHRYSTAL,840,16699,0.011
CINDY,113,291473,0.192
CLAIRE,300,92604,0.061
CLARA,144,232268,0.153
CLARE,796,18217,0.012
CLARICE,647,27326,0.018
CLARISSA,744,21253,0.014
CLAUDETTE,656,25808,0.017
CLAUDIA,234,136628,0.09
CLAUDINE,864,16699,0.011
CLEO,596,31880,0.021
COLEEN,917,13663,0.009
COLETTE,850,16699,0.011
COLLEEN,227,139664,0.092
CONCEPCION,748,21253,0.014
CONCETTA,977,13663,0.009
CONNIE,106,303618,0.2
CONSTANCE,232,138146,0.091
CONSUELO,577,33398,0.022
CORA,308,88049,0.058
CORINA,912,15181,0.01
CORINE,836,16699,0.011
CORINNE,554,36434,0.024
CORNELIA,709,22771,0.015
CORRINE,746,21253,0.014
COURTNEY,245,130556,0.086
CRISTINA,437,50097,0.033
CRYSTAL,102,314245,0.207
CYNTHIA,28,711985,0.469
DAISY,295,94122,0.062
DALE,696,24289,0.016
DANA,179,185207,0.122
DANIELLE,150,226196,0.149
DAPHNE,618,28844,0.019
DARCY,802,18217,0.012
DARLA,471,44025,0.029
DARLENE,157,215569,0.142
DAWN,105,306654,0.202
DEANA,684,24289,0.016
