Name,Rank,Number,Percent
AARON,77,350151,0.24
ABDUL,831,10213,0.007
ABE,854,8754,0.006
ABEL,485,27720,0.019
ABRAHAM,347,51064,0.035
ADAM,69,377871,0.259
ADAN,752,11672,0.008
ADOLFO,567,20425,0.014
ADOLPH,642,16049,0.011
ADRIAN,227,100668,0.069
AGUSTIN,563,21884,0.015
AHMAD,885,8754,0.006
AHMED,1000,7295,0.005
AL,435,33556,0.023
ALAN,91,297628,0.204
ALBERT,54,458114,0.314
ALBERTO,270,77325,0.053
ALDEN,889,8754,0.006
ALDO,849,10213,0.007
ALEC,930,8754,0.006
ALEJANDRO,305,62735,0.043
ALEX,156,167781,0.115
ALEXANDER,141,192583,0.132
ALEXIS,641,16049,0.011
ALFONSO,331,55441,0.038
ALFONZO,911,8754,0.006
ALFRED,125,236352,0.162
ALFREDO,269,78784,0.054
ALI,614,17508,0.012
ALLAN,250,88997,0.061
ALLEN,114,253859,0.174
ALONZO,451,32097,0.022
ALPHONSE,824,10213,0.007
ALPHONSO,654,16049,0.011
ALTON,361,48146,0.033
ALVA,793,10213,0.007
ALVARO,619,17508,0.012
ALVIN,169,153191,0.105
AMADO,965,7295,0.005
AMOS,470,29179,0.02
ANDERSON,814,10213,0.007
ANDRE,217,110881,0.076
ANDREA,900,8754,0.006
ANDRES,352,49605,0.034
ANDREW,35,783462,0.537
ANDY,284,71489,0.049
ANGEL,205,119635,0.082
ANGELO,326,56899,0.039
ANIBAL,959,7295,0.005
ANTHONY,22,1051911,0.721
ANTOINE,536,23343,0.016
ANTON,591,18966,0.013
ANTONE,990,7295,0.005
ANTONIO,100,277203,0.19
ANTONY,791,11672,0.008
ANTWAN,888,8754,0.006
ARCHIE,362,48146,0.033
ARIEL,830,10213,0.007
ARMAND,618,17508,0.012
ARMANDO,258,84620,0.058
ARNOLD,224,105045,0.072
ARNULFO,843,10213,0.007
ARON,864,8754,0.006
ARRON,790,11672,0.008
ART,710,13131,0.009
ARTHUR,48,488752,0.335
ARTURO,304,62735,0.043
ASHLEY,584,20425,0.014
AUBREY,495,27720,0.019
AUGUST,551,21884,0.015
AUGUSTINE,806,10213,0.007
AUGUSTUS,948,7295,0.005
AURELIO,736,13131,0.009
AUSTIN,301,64194,0.044
AVERY,638,16049,0.011
BARNEY,705,13131,0.009
BARRY,140,195501,0.134
BART,574,20425,0.014
BARTON,877,8754,0.006
BASIL,668,14590,0.01
BEAU,712,13131,0.009
