Name,Rank,Number,Percent
SMITH,1,2376206,0.88085
JOHNSON,2,1857160,0.68844
WILLIAMS,3,1534042,0.56866
BROWN,4,1380145,0.51162
JONES,5,1362755,0.50517
MILLER,6,1127803,0.41807
DAVIS,7,1072335,0.39751
GARCIA,8,858289,0.31817
RODRIGUEZ,9,804240,0.29813
WILSON,10,783051,0.29027
MARTINEZ,11,775072,0.28732
ANDERSON,12,762394,0.28262
TAYLOR,13,720370,0.26704
THOMAS,14,710696,0.26345
HERNANDEZ,15,706372,0.26185
MOORE,16,698671,0.259
MARTIN,17,672711,0.24937
JACKSON,18,666125,0.24693
THOMPSON,19,644368,0.23887
WHITE,20,639515,0.23707
LOPEZ,21,621536,0.2304
LEE,22,605860,0.22459
GONZALEZ,23,597718,0.22157
HARRIS,24,593542,0.22002
CLARK,25,548369,0.20328
LEWIS,26,509930,0.18903
ROBINSON,27,503028,0.18647
WALKER,28,501307,0.18583
PEREZ,29,488521,0.18109
HALL,30,473568,0.17555
YOUNG,31,465948,0.17273
ALLEN,32,463368,0.17177
SANCHEZ,33,441242,0.16357
WRIGHT,34,440367,0.16324
KING,35,438986,0.16273
SCOTT,36,420091,0.15573
GREEN,37,413477,0.15327
BAKER,38,413351,0.15323
ADAMS,39,413086,0.15313
NELSON,40,412236,0.15281
HILL,41,411770,0.15264
RAMIREZ,42,388987,0.1442
CAMPBELL,43,371953,0.13788
MITCHELL,44,367433,0.13621
ROBERTS,45,366215,0.13575
CARTER,46,362548,0.1344
PHILLIPS,47,351848,0.13043
EVANS,48,342237,0.12687
TURNER,49,335663,0.12443
TORRES,50,325169,0.12054
PARKER,51,324246,0.1202
COLLINS,52,317848,0.11783
EDWARDS,53,317070,0.11754
STEWART,54,312899,0.11599
FLORES,55,312615,0.11589
MORRIS,56,311754,0.11557
NGUYEN,57,310125,0.11496
MURPHY,58,300501,0.11139
RIVERA,59,299463,0.11101
COOK,60,294795,0.10928
ROGERS,61,294403,0.10913
MORGAN,62,276400,0.10246
PETERSON,63,275041,0.10196
COOPER,64,270097,0.10012
REED,65,267443,0.09914
BAILEY,66,265916,0.09857
BELL,67,264752,0.09814
GOMEZ,68,263590,0.09771
KELLY,69,260385,0.09652
HOWARD,70,254779,0.09445
WARD,71,254121,0.0942
COX,72,253771,0.09407
DIAZ,73,251772,0.09333
RICHARDSON,74,249533,0.0925
WOOD,75,247299,0.09167
WATSON,76,242432,0.08987
BROOKS,77,240751,0.08925
BENNETT,78,239055,0.08862
GRAY,79,236713,0.08775
JAMES,80,233224,0.08646
REYES,81,232511,0.08619
CRUZ,82,231065,0.08566
HUGHES,83,229390,0.08503
PRICE,84,228756,0.0848
MYERS,85,224824,0.08334
LONG,86,223494,0.08285
FOSTER,87,221040,0.08194
SANDERS,88,220902,0.08189
ROSS,89,219961,0.08154
MORALES,90,217642,0.08068
POWELL,91,216553,0.08028
SULLIVAN,92,215640,0.07994
RUSSELL,93,215432,0.07986
ORTIZ,94,214683,0.07958
JENKINS,95,213737,0.07923
GUTIERREZ,96,212905,0.07892
PERRY,97,212644,0.07883
BUTLER,98,210879,0.07817
BARNES,99,210426,0.078
FISHER,100,210279,0.07795
HENDERSON,101,210094,0.07788
COLEMAN,102,208624,0.07734
SIMMONS,103,201650,0.07475
PATTERSON,104,198557,0.0736
JORDAN,105,197212,0.07311
REYNOLDS,106,195598,0.07251
HAMILTON,107,194331,0.07204
GRAHAM,108,194074,0.07194
KIM,109,194067,0.07194
GONZALES,110,193934,0.07189
ALEXANDER,111,193443,0.07171
RAMOS,112,193096,0.07158
WALLACE,113,190760,0.07071
GRIFFIN,114,190636,0.07067
WEST,115,188464,0.06986
COLE,116,187793,0.06961
HAYES,117,187473,0.0695
CHAVEZ,118,185865,0.0689
GIBSON,119,184420,0.06836
BRYANT,120,183761,0.06812
ELLIS,121,181934,0.06744
STEVENS,122,181417,0.06725
MURRAY,123,178414,0.06614
FORD,124,178397,0.06613
MARSHALL,125,177213,0.06569
OWENS,126,176334,0.06537
MCDONALD,127,176094,0.06528
HARRISON,128,175577,0.06509
RUIZ,129,175429,0.06503
KENNEDY,130,171636,0.06362
WELLS,131,170635,0.06325
ALVAREZ,132,168817,0.06258
WOODS,133,168814,0.06258
MENDOZA,134,168567,0.06249
CASTILLO,135,165473,0.06134
OLSON,136,163502,0.06061
WEBB,137,163481,0.0606
WASHINGTON,138,163036,0.06044
TUCKER,139,162933,0.0604
FREEMAN,140,162686,0.06031
BURNS,141,162153,0.06011
HENRY,142,161392,0.05983
VASQUEZ,143,159989,0.05931
SNYDER,144,159363,0.05908
SIMPSON,145,158241,0.05866
CRAWFORD,146,158121,0.05861
JIMENEZ,147,157475,0.05838
PORTER,148,156848,0.05814
MASON,149,155484,0.05764
SHAW,150,155172,0.05752
GORDON,151,154934,0.05743
WAGNER,152,154516,0.05728
HUNTER,153,154410,0.05724
ROMERO,154,153772,0.057
HICKS,155,153618,0.05695
DIXON,156,152015,0.05635
HUNT,157,151986,0.05634
PALMER,158,150407,0.05576
ROBERTSON,159,150299,0.05572
BLACK,160,150186,0.05567
HOLMES,161,150166,0.05567
STONE,162,149802,0.05553
MEYER,163,149664,0.05548
BOYD,164,149476,0.05541
MILLS,165,147909,0.05483
WARREN,166,147906,0.05483
FOX,167,147357,0.05462
ROSE,168,146924,0.05446
RICE,169,146440,0.05428
MORENO,170,146088,0.05415
SCHMIDT,171,145565,0.05396
